,x,y,time,theta
0.0,77.0,878.0,0.6452853679656982,0.3456327504004067
1.0,69.5,921.5,0.8706483840942383,0.3752937426631204
2.0,36.5,923.0,0.9195175170898438,0.376311129938885
3.0,50.0,970.5,0.9813530445098877,0.4083384842744984
4.0,50.0,970.5,1.0192978382110596,0.4083384842744984
5.0,52.58000183105469,850.0,1.0482432842254639,0.32638282411866176
6.0,5.5,910.5,1.1231725215911865,0.3678218161141558
7.0,5.5,910.5,1.1739938259124756,0.3678218161141558
8.0,12.582620620727539,887.1438598632812,1.2049288749694824,0.3518925659786016
9.0,58.849205017089844,830.5,1.2677476406097412,0.31290514434469513
10.0,58.849205017089844,830.5,1.3121349811553955,0.31290514434469513
11.0,16.45454502105713,835.5,1.3440508842468262,0.31636649680460244
12.0,16.45454502105713,835.5,1.373974323272705,0.31636649680460244
13.0,8.0,944.5,1.4288713932037354,0.39085353590421595
14.0,8.0,944.5,1.4787378311157227,0.39085353590421595
15.0,5.5,905.0,1.5086643695831299,0.36407856286001866
16.0,5.5,963.5,1.5876224040985107,0.4036419817243791
17.0,5.5,963.5,1.6364784240722656,0.4036419817243791
18.0,5.5,860.0,1.6803247928619385,0.33327178753646086
19.0,5.5,860.0,1.7092487812042236,0.33327178753646086
20.0,5.0,910.5,1.7611088752746582,0.3678218161141558
21.0,5.0,910.5,1.7901031970977783,0.3678218161141558
22.0,5.5,955.0,1.8598964214324951,0.3979281844256039
23.0,5.5,955.0,1.8977837562561035,0.3979281844256039
24.0,5.0,942.5,1.9535975456237793,0.3895039332148897
25.0,5.0,942.5,1.9925258159637451,0.3895039332148897
26.0,5.5,912.0,2.047457218170166,0.3688418615620895
27.0,5.5,912.0,2.0754120349884033,0.3688418615620895
28.0,5.5,924.5,2.1449387073516846,0.3773281533466278
29.0,5.5,924.5,2.1739184856414795,0.3773281533466278
30.0,5.5,912.0,2.2408852577209473,0.3688418615620895
31.0,5.5,912.0,2.2747952938079834,0.3688418615620895
32.0,5.5,859.0,2.3396215438842773,0.3325835875441146
33.0,5.5,859.0,2.37153697013855,0.3325835875441146
34.0,5.0,909.5,2.448331832885742,0.3671415851972582
35.0,5.0,909.5,2.4752585887908936,0.3671415851972582
36.0,5.0,909.0,2.5451138019561768,0.36680140959104196
37.0,5.0,909.0,2.57401967048645,0.36680140959104196
38.0,5.5,913.5,2.656913995742798,0.36986154559606815
39.0,5.5,913.5,2.685837745666504,0.36986154559606815
40.0,5.0,916.0,2.768613815307617,0.3715602149269224
41.0,5.0,916.0,2.7985661029815674,0.3715602149269224
